# Histogrammed data for fix ave_end
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
1000 100 9990 0 0.8796157894944779 1.1130416696821768
4000 100 9990 0 0.8757247118768011 1.1317535982723743
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 49 0.0049049
10 0.95 8178 0.818619
11 1.05 1758 0.175976
12 1.15 5 0.000500501
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
5000 100 9990 0 0.8746242166411606 1.1201240051135628
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 58 0.00580581
10 0.95 8143 0.815115
11 1.05 1785 0.178679
12 1.15 4 0.0004004
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
6000 100 9990 0 0.8763768756271617 1.129331256518401
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 61 0.00610611
10 0.95 8148 0.815616
11 1.05 1778 0.177978
12 1.15 3 0.0003003
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
7000 100 9990 0 0.8797176421425763 1.1217206186192161
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 48 0.0048048
10 0.95 8149 0.815716
11 1.05 1790 0.179179
12 1.15 3 0.0003003
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
8000 100 9990 0 0.8732932501367323 1.1085155880678033
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 55 0.00550551
10 0.95 8124 0.813213
11 1.05 1806 0.180781
12 1.15 5 0.000500501
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
9000 100 9990 0 0.8736528528246469 1.117363412910219
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 63 0.00630631
10 0.95 8172 0.818018
11 1.05 1751 0.175275
12 1.15 4 0.0004004
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
10000 100 9990 0 0.8759208242482984 1.1132214293255875
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 62 0.00620621
10 0.95 8150 0.815816
11 1.05 1775 0.177678
12 1.15 3 0.0003003
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
11000 100 9990 0 0.8761621076935988 1.1288538978045164
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 60 0.00600601
10 0.95 8150 0.815816
11 1.05 1772 0.177377
12 1.15 8 0.000800801
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
12000 100 9990 0 0.8803403229933962 1.1094048142547608
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 78 0.00780781
10 0.95 8035 0.804304
11 1.05 1870 0.187187
12 1.15 7 0.000700701
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
13000 100 9990 0 0.8757170592920825 1.1417820070178126
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 68 0.00680681
10 0.95 8106 0.811411
11 1.05 1810 0.181181
12 1.15 6 0.000600601
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 0 0
30 2.95 0 0
31 3.05 0 0
32 3.15 0 0
33 3.25 0 0
34 3.35 0 0
35 3.45 0 0
36 3.55 0 0
37 3.65 0 0
38 3.75 0 0
39 3.85 0 0
40 3.95 0 0
41 4.05 0 0
42 4.15 0 0
43 4.25 0 0
44 4.35 0 0
45 4.45 0 0
46 4.55 0 0
47 4.65 0 0
48 4.75 0 0
49 4.85 0 0
50 4.95 0 0
51 5.05 0 0
52 5.15 0 0
53 5.25 0 0
54 5.35 0 0
55 5.45 0 0
56 5.55 0 0
57 5.65 0 0
58 5.75 0 0
59 5.85 0 0
60 5.95 0 0
61 6.05 0 0
62 6.15 0 0
63 6.25 0 0
64 6.35 0 0
65 6.45 0 0
66 6.55 0 0
67 6.65 0 0
68 6.75 0 0
69 6.85 0 0
70 6.95 0 0
71 7.05 0 0
72 7.15 0 0
73 7.25 0 0
74 7.35 0 0
75 7.45 0 0
76 7.55 0 0
77 7.65 0 0
78 7.75 0 0
79 7.85 0 0
80 7.95 0 0
81 8.05 0 0
82 8.15 0 0
83 8.25 0 0
84 8.35 0 0
85 8.45 0 0
86 8.55 0 0
87 8.65 0 0
88 8.75 0 0
89 8.85 0 0
90 8.95 0 0
91 9.05 0 0
92 9.15 0 0
93 9.25 0 0
94 9.35 0 0
95 9.45 0 0
96 9.55 0 0
97 9.65 0 0
98 9.75 0 0
99 9.85 0 0
100 9.95 0 0
14000 100 9990 0 0.8750336265244866 1.1153903940230592
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 72 0.00720721
10 0.95 8087 0.80951
11 1.05 1829 0.183083
12 1.15 2 0.0002002
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
